CUI,mention
C0420266,further evaluation
C0039985,a chest x-ray
C0023901,The liver function tests
C0201850,an alkaline phosphatase
C0202113,LDH
C0201899,SGOT
C0201838,albumin
C0430246,A peripheral blood smear
C1273411,Chromosomal studies
C0203668,A bone scan
C0585013,an old fracture
C0412519,A thyroid ultrasound
C0412620,an abdominal CT
C0038002,an enlarged spleen
C0278851,metastases papillary carcinoma of the thyroid
C1313898,An upper gastrointestinal
C1689960,The small bowel follow through
C0373397,A thyroid scan
C0205161,decreased function
C0202823,A chest CT
C0232462,a decreased appetite
C1262477,weight loss
C0239340,lower extremity edema
C2038765,left upper extremity swelling
C0574066,increased shortness of breath
C0238463,papillary thyroid carcinoma
C0015333,radiation exposure
C3163939,thyroid carcinoma
C0149796,exposure to tuberculosis
C0004238,atrial fibrillation
CUI-less,heart rate control
C0012265,Digoxin
C0699988,Lanoxin
C0699992,Lasix
C0150404,Her vital signs
C0005824,a blood pressure
C0034107,pulse
C1443397,respirations
C0204688,temperature
C1167958,jugular venous distention
C0006318,bruits
C0023508,the white blood count
C0162401,a differential
C0018935,Her hematocrit
C0587341,hemoglobin
C0032181,platelet count
C0033707,PT
C0030605,PTT
C1176468,erythrocyte sedimentation rate
C0201925,calcium
C0202178,phosphorus
C0337443,sodium
C0202194,potassium
C0005845,BUN
C0555903,total protein
C0201838,albumin
C0877347,globulin
C0201850,alkaline phosphatase
C0201899,SGOT
C0337449,Digoxin level
C0238463,papillary carcinoma of the thyroid
C0153690,bone involvement
C0153676,lung involvement
CUI-less,Work up
C1301355,myeloproliferative / myelodysplastic disorder
C0206141,the hyper-eosinophilic syndrome
C1271729,a bone marrow aspirate biopsy
C0189485,A lung biopsy
C3661582,Vitamin K therapy
C0033707,PTs
C4047693,a thrombosis of the left subclavian vein
C4047797,some thrombosis of the left internal jugular vein
C0202691,A head CT
C2939419,any metastatic process
C2240374,the patient &apos;s eosinophilia
C0591139,Bactrim
C0011991,diarrhea
C0238463,papillary thyroid carcinoma
C0153676,pulmonary metastases
C0543467,surgical intervention
C0374711,repair
C0034107,Her rate
C0012265,Digoxin
C0201925,Calcium levels
C0150457,Anticoagulation
C0699129,Coumadin
C0033707,a PT
C2587213,local control
C0278851,Metastatic papillary thyroid carcinoma
C0699129,Coumadin
C0032950,prednisolone
C0020261,hydrochlorothiazide
C0032825,potassium chloride
C0591132,Augmentin
C0012265,Digoxin
C0699142,Tylenol
C0740157,Carafate
C0728762,Synthroid
C0202194,potassium
C0033707,PT
C0012169,a low sodium diet
C0033707,a PT
C0699129,Coumadin
C0205090,RIGHT
C0238463,THYROID PAPILLARY CARCINOMA
C0205090,Right
C0238463,thyroid papillary carcinoma
C0205329,progressive
C3714552,weakness
C0205404,serious
C0041912,upper respiratory tract infection
C1262477,weight loss
C0205183,benign
C3887499,renal cyst
C0262581,no known drug allergy
CUI-less,no acute distress
C0439544,definite
C0232237,S3
C1271714,polys
C0200634,bands
C0200635,lymphocytes
C0200637,monocytes
C0200638,eosinophils
C0455284,myelocytes
C2945599,mild
C0042029,urinary tract infection
C0205090,right
C0040145,thyroidectomy
C0040736,autotransplantation
C0229591,right upper parathyroid gland
C2937276,slight
C0019825,hoarseness in her voice
C0332174,weekly
C0018941,blood tests
C0200638,eosinophils
C0153676,Pulmonary
C0153676,metastases
C0153690,bone metastases
C0020889,iliac
C0205090,right
C0239340,leg edema
C0205191,Chronic
C0237753,numbers
C0205217,increased
C0024764,manubrium
C0205217,increased
C0201807,uptake
C0349453,thyroid mass
C0542339,inferior
C0221204,lytic lesion
C0020889,iliac bone
C0205090,right
C0221204,lytic lesion
C0005558,Biopsy
C0012727,displacement
C0040132,thyroid
C0577559,mass
CUI-less,cold
C2242558,calcifications
C0450415,right side
C2350019,pulmonary nodule
C0700321,small
C0027540,necrotic
C0577559,mass
C0439808,profound
C3714552,weakness
C0005560,needle biopsy
C0040137,thyroid nodule
C0205090,right
C0205090,right
C0205233,firm
C0349453,thyroid mass
C0520960,nontender
C0238997,basilar dullness
C0225706,right basilar
C1720667,4+ edema
C0230434,knees bilaterally
C2240374,increased eosinophilic proliferation
C0522501,markedly
C0522035,edema
C0522035,upper extremity
C0205091,left
C4316337,sliding scale
C0019134,heparin
C0032952,prednisone
CUI-less,trial
C0040591,tracheotomy
C0205287,membranous
C0456855,right posterior
C0445398,diuresis
C2945599,gentle
C0701466,Solu-Medrol
C0087111,therapy
C0231221,asymptomatic
C0004238,atrial fibrillation
C0449867,anticoagulated
C1704419,effectively
C0007097,carcinoma
C0205281,invasive
C0439775,elevated
C0230330,left arm
C1522449,radiation therapy
C0230074,right neck
C0205090,right
C0223651,iliac crest
C3873370,PAPILLARY ADENOCARCINOMA OF THE LUNG
C3873370,Papillary adenocarcinoma of the lung
C1301741,A flexible bronchoscopy
C0013990,emphysema
C0007120,broncho-alveolar carcinoma
C1301741,flexible bronchoscopy
C0025065,mediastinoscopy
C0039991,thoracotomy
C2082610,pneumonectomy
C0562483,a persistent cough
C0015967,fever
C0032285,pneumonia
C1956415,paroxysmal nocturnal dyspnea
C0085619,orthopnea
C0019079,hemoptysis
C0015967,fevers
C0085593,chills
C0038990,sweats
C0032285,pneumonia
C1262477,a loss of weight
C0751410,lower extremity weakness
C0577915,A &quot; spot &quot; in the left lower lobe
C0039985,chest X-ray
C0032285,his pneumonia
C1301741,flexible bronchoscopy
C3539909,allergic
C2684258,Percodan
C0033774,itchiness
C0040864,Triamcinolone
C0699034,Xanax
C0003467,anxiety
C0700786,MS Contin
C0085096,peripheral vascular disease
C0030600,partial gastrectomy
C0030920,peptic ulcer disease
C0489633,The review of systems
C0003467,anxiety
C0031809,physical examination
CUI-less,"The head , eyes , ears , nose , throat examination"
C0018021,thyromegaly
C0035508,rhonchorous
C0004339,auscultation
C0030987,percussion
C0436125,Cardiovascular exam
C0018808,murmur
C0232267,rub
C0232200,gallop
C0746412,palpable masses
C0034107,Pulses
C0149651,clubbing
C0010520,cyanosis
C0013604,edema
C0027853,The neurological examination
C0202194,potassium
C0201952,chloride
C0202059,bicarbonate
C0005845,BUN
C0201975,creatinine
C0337438,glucose
C0201925,calcium
C0023901,liver function tests
C0201838,albumin
C0877347,globulin
C0023508,a white blood count
C0018935,hematocrit
C0587341,hemoglobin
C0032181,platelet count
C0150411,The arterial blood gases
C0024119,The pulmonary function tests
C0429706,an FEV1
C1287681,FVC
C0429745,FEV1/FVC ratio
C0199525,DLCO
C0001927,Albuterol
C1967872,Atrovent metered dose inhalers
C0543467,surgery
C0184661,his procedure
C0009566,complications
C0264545,thickened pleura
C0523807,oxygen saturations
C0428648,an Fi02
C0318153,alpha hemolytic Streptococcus
C2242979,culture
C0220892,penicillin
C3854019,Gentamicin
C0699678,Flagyl
C0002680,Ampicillin
C3854019,Gentamicin
C0239574,low grade temperatures
C0015967,a high temperature
C0277797,afebrile
C0039985,The chest X-ray
C0220892,penicillin
C3854019,Gentamicin
C0008809,Ciprofloxacin
C0699678,Flagyl
C0874799,Tylenol # 3
C0699034,Xanax
C0008809,Ciprofloxacin
C0699678,Flagyl
C0332271,worsening
C0013404,dyspnea
C0205217,increased
C0015672,fatigue
C0849584,follow up
C0202823,chest computerized tomography scan
CUI-less,no acute distress
C0749155,supraclavicular
C0749155,adenopathy
C0578735,axillary adenopathy
C0457453,Admission
C0337443,sodium
C0009555,complete blood count
C0457453,on admission
C0392762,quantitative
C0560738,V / Q scan
C0439064,multiple
C0001511,adhesions
C2937276,slight
C0442805,increase
C0225788,left pleural fluid
C0023928,lobectomy
C0442091,extrapleural
C1522720,pleural
C0001418,adenocarcinoma
C0205615,well differentiated
C0040300,tissue
C0005558,biopsy
C0542339,under
C0222762,rib cage
C0455270,sharp pain
C0521114,occasional
C0030920,peptic ulcer disease
C0443203,Distant
C0160628,thumb
C0160628,lost
C0433630,middle finger lost
C0205090,right
C0229725,submaxillary
C0229725,lymph node
C2004491,scar
C0522491,parasagittal
C0000833,abscess
C0205284,near the margin
C0332469,fissure
C0205164,major
C1261077,left lower lobe
C0028259,nodule
C0205233,firm
C1261077,left lower lobe
CUI-less,micro
C1261077,left lower lobe
C1334603,MIXED MESODERMAL CANCER
C1334603,mixed mesodermal cancer
C0020699,hysterectomy
C0278321,bilateral oophorectomy
C1442978,abdominal wall hernia
C0020538,hypertension
C1706406,tumor debulking
C0193883,pelvic lymph node dissection
C0019329,abdominal wall hernia repair
C0542407,total abdominal hysterectomy-bilateral salpingo-oophorectomy
C1334603,a mixed mesodermal cancer
C0040405,CT scan
C2979982,bleeding per vagina
C0031809,An examination
C0521158,recurrent tumor
C0040405,A computerized tomography scan
C0005558,biopsy
C0221198,this lesion
C0728940,excision
C0733624,Halcion
C0699187,Valium
C0025696,methyclothiazide
C0204688,Her temperature
C0005824,blood pressure
C0034107,heart rate
CUI-less,her HEENT examination
C0004339,auscultation
C0028754,obese
C0520960,non-tender
C0746412,palpable masses
C0337443,sodium
C0202194,potassium
C0201952,chloride
C0202059,bicarbonate
C0005845,BUN
C0201975,creatinine
C0201850,Her alkaline phosphatase
C0023508,white blood count
C0018935,hematocrit
C0032181,platelet count
C0278259,local excision
C0002903,anesthesia
C0085704,an exploratory laparotomy
C1706406,tumor debulking
C1442978,An abdominal wall hernia
C0184661,the procedure
C1282546,Her vaginal pack
C1970989,the Foley catheter
C1272738,Her Jackson-Pratt drain
C1299586,difficulty
C0086787,Percocet
C0030193,pain
C1536155,pelvic radiation therapy
C1522449,her radiation
C0027651,tumor
C0200739,frozen section analysis
C0200728,The permanent pathology sections
C0012826,lysis of adhesions
C0012826,lysis of adhesions
C0227794,vaginal apex
C0277556,recurrence
C0227794,apicovaginal
C0221198,lesion
C0205099,central
C0277556,recurrence
C0549379,cancer recurrence
C0205276,local
C0036410,sclerae
C0205180,anicteric
C0750482,slightly
C0542193,relaxed
C0230060,inferoorbital wall
C0277910,systolic ejection murmur
C0205112,at the base
C0034107,pulses
C0238767,bilaterally
C1265804,nonpitting edema
CUI-less,up to the knees
C1334603,mixed mesodermal cancer
C0227794,vaginal apex
C0193883,pelvic lymph node dissection
C0238767,bilateral
C0262581,No known drug allergies
C0009566,complications
C1299586,difficulty
C0013216,medication
C0558588,an exam under anesthesia
C0340321,Old inferior wall myocardial infarction
C0412674,Head magnetic resonance imaging study
C0202691,Head computerized tomography scan
C0013516,echocardiogram
C0206077,transcranial Dopplers
C0430461,Holter electrocardiogram
C0013819,electroencephalogram
C0042825,visual field testing
C1956346,coronary artery disease
C0027051,myocardial infarction
C0011860,noninsulin dependent diabetes mellitus
C0344232,blurred vision
C0547030,change of vision
C0344232,The blurred vision
C0007787,transient ischemic attack
C0038454,stroke
C0027497,any nausea
C0042963,vomiting
C0004134,ataxia
C0474393,motor deficits
C0233715,speech deficits
C0150075,sensory deficits
C0239886,frontal headaches
C0151315,a tight neck
C0027051,a myocardial infarction
C0280076,cardiac medications
C0565959,new episodes
C0011849,diabetes mellitus
C0017642,Glipizide
C0235754,bladder papilloma
C0376358,prostate cancer
C0038454,stroke
C0149931,migraines
C0700776,Lopressor
C0700940,Cardizem
C0592278,Zantac
C0590720,Isordil
C0017642,Glipizide
C0277797,afebrile
CUI-less,"The head , eyes , ears , nose , throat examination"
C0018021,goiter
C0006318,bruit
C0520960,nontender
C0019214,hepatosplenomegaly
C0577559,mass
C0425716,Capillary refill
C0013604,edema
C0520960,nontender
C0027853,neurological examination
C0702182,The extra ocular movements
C1719782,The light reflex
C0430740,The motor examination
C1504476,pronator drift
C0204059,the strength
C0278158,finger-nose-finger test
C1288236,The heel-shin-test
C0200116,Sensory examination
C0034935,The Babinski &apos;s
C0278125,The cross extension reflex
C0009555,Complete blood count
C0023508,white blood cells
C0018935,hematocrit
C0587341,hemoglobin
C0032181,platelets
C0033707,Prothrombin time
C0030605,partial thromboplastin time
C0337443,Sodium
C0202194,potassium
C0201952,chloride
C0202059,bicarbonate
C0005845,BUN
C0201975,creatinine
C0337438,glucose
C0201883,amylase
C0201925,calcium
C0202178,phosphorus
C0373675,magnesium
C0555903,total protein
C0201838,albumin
C0877347,globulin
C0202239,uric acid
C0201850,alkaline phosphatase
C0201899,GOT
C0202113,LDH
C0475880,hemolyzed sample
C0039985,Chest x-ray
C0032285,pneumonia
C0018802,congestive heart failure
C1623258,Electrocardiogram
C0040405,A computerized tomography scan
C0412674,Head magnetic resonance imaging study
C0243032,magnetic resonance imaging angiogram
C0232342,decreased flow
C0206077,Transcranial Dopplers
C0430461,Holter electrocardiogram
C0013819,Electroencephalogram
C0042825,Visual field testing
C0423411,retinal lesion
C0013516,Echocardiogram
C0034088,pulmonary insufficiency
C0040961,tricuspid insufficiency
C0026266,mitral insufficiency
C0003504,aortic insufficiency
C0302148,clots
C0013516,the echocardiogram
C0354566,intravenous heparin
CUI-less,the studies
C0262469,embolic strokes
C0206077,transcranial Dopplers
C0430461,Holter electrocardiogram
C0013516,echocardiogram
C0523584,MB fraction
CUI-less,too low
C0024485,the magnetic resonance imaging study
C0456754,This moving sense
C0038454,the stroke
C0159028,these symptoms
C0420266,any further studies
C0520541,a hypotensive episode
C0871470,the systolic blood pressure
C0013216,his medications
C0344232,blurred vision
C0004057,aspirin
C0031809,the physical examination
C0013216,Medications
C0004057,aspirin
C0017642,Glipizide
C0559750,his continuing hematuria
C0205090,RIGHT
C0455714,"OCCIPITAL , CEREBRAL INFARCTION"
C0205090,Right
C0455714,"occipital , cerebral infarction"
C1293027,carotid
C0205303,noninvasives
C0450414,left side
C1276802,acute
C0344232,blurry vision
C0344232,blurred vision
C0445247,same
C0262581,denies any drug allergies
C0018808,heart murmur
C0750502,significant
C0344232,blurred vision
C0439735,left upper quadrant
C0547040,minimal
C0271390,terminal nystagmus
C2945599,mild
C0439834,slow
C0750482,slightly
C0450414,left side
C0018777,conduction hearing
C0457436,weakness on the left side
C2945599,mild
C0233844,clumsy
C0750482,slightly
C0238767,bilaterally
C1295585,decreased vibratory sense
C0205108,distal
C0230420,lower extremities
C0014772,red blood cells
C0023508,white blood cells
C1271714,polys
C0200635,lymphs
C0200637,monos
C0200638,eos
C0449213,leads II
C0449214,leads
C0449214,III
C0449215,AVF
C1287077,Q-waves
C1265608,low-density area
C0230005,occipital
C0205090,right
C0441994,lower
C0455714,occipital lobe infarction
C0205365,subacute
C0450415,right lateral
C0149559,posterior communicating artery
C0232342,decreased flow
CUI-less,related enhancement
C1293027,Carotid
C0205303,noninvasives
C0007273,carotid disease
C0547040,minimal
C0003811,arrhythmias
C0750502,significant
C0229089,right eye
C0332503,wedge-shaped
C0700321,small
C3887875,visual field defect
C0205122,segmental
C1997351,left ventricular dysfunction
C3266752,Overall left ventricle systolic function moderately impaired
C0232174,ejection fraction
C0750572,estimated
C0205090,right
C0455714,occipital cerebral infarction
C1293027,carotid
C0205303,noninvasives
C1623258,electrocardiogram
C0205549,serial
C0205549,serial
C2919598,vestibular dysfunction
C2945599,mild
C0205272,regular
C0280076,cardiac medications
C0013216,medications
C0205272,regular
C0027853,neurological
C0027853,examination
C0031809,physical examination
C0205272,regular
C0280076,cardiac medications
C3839357,Head
C3839357,magnetic resonance imaging angiogram with
C3839357,gadolinium
C4305213,Head
C4305213,magnetic resonance imaging angiogram
C4305213,without gadolinium
C0205091,left
C0428616,creatinine kinase with MB fractions
C0494165,METASTATIC CANCER TO THE LIVER
C0494165,Metastatic cancer to the liver
C0011849,diabetes mellitus
C0031117,peripheral neuropathy
C0149978,rectal carcinoma
C0151636,premature ventricular contractions
C0400436,left hepatectomy
C2004459,an APR
C0149978,rectal carcinoma
C1522449,radiation therapy
C0016360,5FU
C0015672,fatigue
C0013404,dyspnea
CUI-less,workup
C0011849,diabetes mellitus
C0151636,premature ventricular contractions
C0149978,rectal carcinoma
C0011882,diabetic neuropathy
C0700718,Diabeta
C0029997,Serax
C0700727,Sudafed
C0039771,Theo-dur
C0699055,Betoptic
C0072221,Propene
C0699633,Pred-Forte
C0086787,Percocet
C0699770,Proventil
C2004459,abdominoperineal resection
C0005824,The blood pressure
C0034107,pulse
C0205271,irregular
C1443397,respirations
CUI-less,"The head , eyes , ears , nose , throat and neck examinations"
C0562319,Cardiac examination
C0436121,The lung examination
C1287665,breath sounds
C0028754,obese
C1265602,masses
C0028756,the patient &apos;s extreme obesity
C0027853,The neurological examination
C0031117,a peripheral neuropathy
C0039985,A chest X-ray
C1623258,The electrocardiogram
C0232119,trigeminy
C0018935,hematocrit
C0085704,exploratory laparotomy
C0400436,left hepatectomy
C0008320,cholecystectomy
C0184661,the procedure
C0005767,blood
C0005841,transfused blood
C0085678,His nasogastric tube
C2184084,clear liquids
C1272738,his Jackson-Pratt drains
C0175730,his tubes
C0180499,drains
C0043250,His wound
C0009410,his colostomy
C0700718,Diabeta
C0029997,Serax
C0700727,Sudafed
C0039771,Theo-dur
C0699055,Betoptic
C0072221,Propene
C0699633,Pred-Forte
C0086787,Percocet
C0699770,Proventil
C1562879,right hemidiaphragmatic
C0035232,hemidiaphragmatic paralysis
C0202926,superior mesenteric angiogram
C1628320,celiac
C1628320,angiogram
C0240225,liver mass
C0549177,large
C0027651,neoplasm
C0205617,poorly differentiated
C0346975,metastatic rectal
C1444662,discontinued
C0262581,no known drug allergies
CUI-less,no acute distress
C0332183,frequent
C1399226,ectopic beats
C3164070,right upper quadrant tenderness
C0578093,epigastric
C0578093,tenderness
C2945599,mild
C0009410,colostomy
C0205266,intact
C0020580,decreased sensation
C0230420,lower extremities
C0151786,decreased strength
C1268261,upper and lower extremities
C1562879,right hemidiaphragmatic
C0702240,elevation
C0202926,superior mesenteric artery angiography
C1628320,celiac
C1628320,angiography
C0445204,preoperative
CUI-less,workup
C0019080,blood loss
C0205275,underlying
C1690487,medical condition
C0151636,premature ventricular contractions
C0521114,occasional
C2930544,ADA 1800 kilocalorie diet
C0205272,regular
C0013216,medications
C0445247,same
C1956346,CORONARY ARTERY DISEASE
C1956346,Coronary artery disease
C0018802,Congestive heart failure
C0151636,Ventricular ectopy
C0020542,Pulmonary hypertension
C0018800,Cardiomegaly
C0039239,Sinus tachycardia
C0011849,Diabetes mellitus
C0030483,Paraphimosis
C0085615,Right bundle branch block
C0031046,Pericarditis
C0019134,Heparin
C0040034,thrombocytopenia
C0033216,Pronestyl
C0027497,nausea
C0396777,coronary artery bypass grafting x 3
C0190359,Insertion of intra-aortic balloon pump
C0202857,Left ventriculography
C0202865,bilateral coronary angiography
C0199591,Signal average EKG
C0012265,Digoxin
C0699274,Ecotrin
C0699129,Coumadin
C0065374,Lisinopril
C0017628,Micronase
C1142578,double pneumonia
C0020538,hypertension
C0011849,diabetes mellitus
C0018681,headache
C0233407,disorientation
C0040405,A CT
C0024485,MRI scan
C0004057,aspirin
C0020538,hypertension
C0728763,Vasotec
C0430461,A Holter monitor
C0151636,ventricular ectopy
C2316301,A thallium stress test
C0039231,tachycardia
C0439779,a fall in blood pressure
C0013516,An echocardiogram
C0420266,further evaluation
C0005824,Blood pressure
C0202178,phosphorus
C1261467,weight
C0577835,Peripheral pulses
C0337443,Sodium
C0202194,potassium
C0201952,chloride
C0201930,CO2
C0005845,BUN
C0201975,creatinine
C0337438,glucose
C1445957,Cholesterol
C0202236,triglycerides
C0392885,HDL
C0202117,LDL
C0555903,total protein
C0344395,bilirubin
C0201850,alkaline phosphatase
C0201899,SGOT
C0018935,Hematocrit
C0023508,a white blood count
C0863148,MCV
C0034094,a pulmonary wedge pressure
C0199629,a pulmonary artery pressure
C0202859,Selective coronary angiography
C0018802,congestive heart failure
C0420266,further evaluation
C0012798,diuretics
C0028125,nitrates
C0004057,his aspirin
C0354566,IV Heparin
C0430461,Holter monitor
C0232493,epigastric pain
C0002965,unstable angina
C0543467,surgery
C0702122,an intra-aortic balloon pump
C0396783,quadruple coronary artery bypass grafting
C0030483,A paraphimosis
C0543467,surgery
C0702122,His intra-aortic balloon pump
C0011849,his diabetes mellitus
C0032181,his platelet count
C0354566,intravenous Heparin
C0019134,Heparin
C0032181,his platelet count
C0040034,a thrombocytopenic reaction
C0019134,Heparin
C2919575,nonsustained ventricular tachycardia
C0085615,a right bundle branch block
C0003015,ACE inhibitors
C0012265,Digoxin
C0699129,Coumadin
C0004057,aspirin
C0018795,cardiac catheterization
C0238767,bilateral
C0007785,cerebral infarcts
C0439064,multiple
C0013404,dyspnea
C0205082,severe
C0232172,hypokinesis
C0205246,global
C0425593,S4
C0423523,Loud
C0232250,II / VI
C0232250,murmur
C0460152,regurgitant
C0017887,nitroglycerin
C2317349,IV
C1290385,occluded right coronary artery
C0444598,midportion
C0226032,LAD
C0577305,multiple
C0577305,lesions
C0750502,significant
C0232172,hypokinesis
C0205219,diffuse
C0226031,left main
C1320740,critical
C0221198,lesion
C0151636,ventricular ectopy
C0205392,some
C0002962,anginal
C0205163,equivalent
C0151636,ventricular ectopy
C0205292,multifocal
C0205392,some
CUI-less,further
C0232326,ST segment changes
C0332194,anterolateral
C0205042,coronary anatomy
C1320740,critical
C0589567,placement
C1305400,patch
C0226032,LAD
C1293394,internal mammary artery graft
C0205091,left
C0226036,diagonal
C0729538,henous vein snake graft
C0039239,sinus tachycardia
C0580798,ongoing
C0428989,atrial
C0428989,premature beats
C0151636,ventricular premature beats
C0521114,occasional
C0205251,low
C0428772,left ventricular ejection fraction
C0750502,significant
C1997351,left ventricle dysfunction
C0003811,arrhythmias
C0033707,prothrombin times
C1292786,monitoring
C2239176,HEPATOCELLULAR CARCINOMA
C0019196,HEPATITIS C
C2239176,Hepatocellular carcinoma
C0019196,hepatitis C
C0023911,Liver transplant
C1293095,Re-exploration
C0019080,bleeding
C0019196,hepatitis C
C1879316,transfusions
C0428524,a rise in his alpha feta protein
C0193388,a biopsy of his liver
C2239176,hepatocellular carcinoma
C0023911,liver transplant
C0085704,exploratory laparotomy
C0037995,splenectomy
C0040423,tonsillectomy
C0032285,pneumonia
C0019196,hepatitis C
C2239176,hepatocellular carcinoma
C0013216,medications
C0699992,Lasix
C0302583,iron
C0240962,scleral icterus
C0149651,clubbing
C0014745,palmar erythema
C0344395,bilirubin
C0201899,SGOT
C0185064,chemo-embolization
C2239176,his hepatocellular carcinoma
C0019144,hepatectomy
C0400447,orthotopic liver transplant
C0543467,His operation
C2316467,packed red blood cells
C0016709,FFP
C0443116,platelets
C0005779,a coagulopathy
C1293095,re-exploration
C0018944,hematoma
C1458140,coagulopathic
C1293883,FFP transfusions
C0035078,renal failure
C0022672,ATN
C0021925,intubated
C0016709,FFP
C0456388,blood
C0005779,coagulopathy
C0040034,thrombocytopenia
C0021079,His immunosuppression
C0085379,OKT3
C0701466,Solu Medrol
C0019004,hemodialysis
C0041612,ultra filtration
C0036572,seizures
C0036572,his seizures
C0700087,Tegretol
C0699512,Dilantin
C1621860,mentally obtunded
C0036572,the seizure
C0009068,sutured
C0426468,bleeding from his nasopharynx
C0041909,upper gastrointestinal bleeding
C0014245,Endoscopy
C0019080,bleeding
C0699128,Pitressin
C0017181,the gastrointestinal bleeding
C0018790,cardiac arrest
C0205156,previous
C3263723,trauma
C0262581,no known drug allergies
C0750502,appreciable
C0003962,ascites
C0238767,bilateral
C0235439,ankle edema
C0205177,active
C0019080,bleeding
C0332173,daily
C1879316,transfusions
C0332217,persistent
C0086818,platelet transfusions
C0205082,severe
C0019080,bleeding
C0019144,hepatectomy
C0302891,Native
C0023911,liver transplant
CUI-less,workup
C0005779,coagulopathy
C0205082,severe
C0456388,blood
C0549177,large
C1265611,amounts
C0034063,pulmonary edema
C0332294,resultant
C0549177,large
C1265611,amounts
C2317349,intravenous
C0699187,Valium
C0040408,tongue
C0019080,bleed
C0549177,large
C0005779,coagulopathy
C0332217,continued
C0013298,duodenitis
C0205219,diffuse
C0020649,hypotensive
C0205329,progressively
C0428977,bradycardia
C0332294,eventual
C0022116,ischemia
C0227665,kidneys
C4303159,AMPULLARY ADENOCARCINOMA
C4303159,AMPULLARY ADENOCARCINOMA
C0232493,epigastric pain
C0012833,dizzy
C0015672,fatigue
C0027497,nausea
C4047947,coca cola colored urine
C0009806,constipated
C0278016,hard stool
C0018932,bright red blood per rectum
C0020538,hypertension
C0029997,Serax
C0917801,insomnia
C0302583,iron
C0301532,MVI
C0005824,BP
C0204688,temp
C0034107,pulse
C1443397,respiratory rate
C0022346,jaundiced
C0240962,scleral icterus
C0043144,wheezes
C0034642,rales
C0035508,rhonchi
C0018808,murmur
C0234233,tenderness
C0234246,rebound
C0019214,hepatosplenomegaly
C0334150,incisional scars
C0013604,edema
C0337443,Na
C0202194,K
C0201952,Cl
C0202059,bicarb
C0005845,BUN
C0201975,creatinine
C0337438,glucose
C0009555,CBC
C0023508,White count
C0018935,hematocrit
C0032181,platelets
C0033707,PT
C0030605,PTT
C1254541,INR
C0202113,LDH
C0201883,amylase
C0373670,lipase
C0543467,surgery
CUI-less,The patient &apos;s workup up
C4303159,periampullary adenocarcinoma
C2960784,EGD directed biopsy
C0085162,a Whipple procedure
C0009566,complications
C0085678,The NG tube
C2184084,clear liquids
C0678117,Sandostatin
C0086787,Percocet
C0030193,pain
C0678129,Axid
C0282139,Colace
C1262477,weight loss
C0262581,No known drug allergies
CUI-less,No acute distress
C0004339,auscultation
C0238767,bilaterally
C0205091,left
C0262613,renal mass
C0030247,palpation
CUI-less,moderate
C0201850,alkaline phosphatase
C0344395,bilirubins
C0014440,transaminases
C0205250,elevated
C0346255,renal
C0346255,oncocytoma
C0015672,eased s
C0701811,term memory for the past si
C0444519,tingling sen
C0151786,t that s
C0202691,ich pat
C0203668,e abdomen
C0412620,"chest X-Ray , and"
C0039985,mmogram wer
C0024671,egative .
C0740057,k before
C0027651,AL / SURG
C0020538,l carcinoma
C1274258,"the nose six years ago , catarac"
C0521707,ectomy .
C0020699,ES : No known
C0020261,d. and Decadron 25
C0740057,AL EXAMI
CUI-less,h pupils e
C0004339,demonstrate
C0031809,ate and rhy
C0018808,with a hys
C0031809,noted to be
C0011155,of three
C0430740,be of normal moto
C0200116,. Patient 's gait
C4280872,t was taken to
C0184661,and was taken
C0009566,ry Room awake and
C0034991,ient was evalu
C0034991,"th , rehabilit"
C0034991,eceive the fol
C0740057,.o.q.6h.
C0282139,ously
C0019134,lating
C0020261,". b.i.d. , Zantac 1"
C0699512,", and Pe"
C0592278,is to
C0086787,wed up b
C0005558,de IIi/III
C0228208,GLIOBLASTOMA
C1621958,ULTIFORME . HISTORY OF
C0230377,. For the past f
C0235050,n in the hands bil
C0205090,kness
C0555097,ght leg
C0555097,thr
C0228208,n of the brain . Bon
C0577305,pariet
C0231701,ened ove
C0016504,wor
C0228208,ctic biopsy o
C0439608,stereot
C0579037,the tumor . PAST M
C0262581,CURRENT MEDICATIONS : H
CUI-less,right f
C0231303,ot . HEE
C2004491,CAL
C0020699,d . NEUROLOG
C0231770,noted to be a
C0231784,4/5 and sensory
C2937276,n and
C0151786,lantar f
C0205090,both
C0230460,. HOSPITA
C0231701,COU
C0228208,sy . Patient
C0579037,olerated the procedure well with
C0521654,l Thera
C0444532,Occupation
C1621958,ncology saw the patient
C1827816,ile in the ho
C3463824,MYELODYSPLASTIC SYNDROME
C0003873,RHEUMATOID ARTHRITIS
C0011849,DIABETES MELLITUS
C0221158,MULTIPLE FOCAL ATRIAL TACHYCARDIA
C0018802,CONGESTIVE HEART FAILURE
C0007193,DILATED CARDIOMYOPATHY
C0232174,EJECTION FRACTION
C1956346,CORONARY ARTERY DISEASE
C1960973,HOME O2
CUI-less,multiple medical problems
C3463824,myelodysplastic syndrome
C0474550,decreased hematocrit
C0581384,chronic anemia
C0005954,a bone marrow biopsy
C3463824,myelodysplastic syndrome
C1879316,His transfusions
C0546817,fluid overload
C0018802,congestive heart failure
C0349782,ischemia cardiomyopathy
C1879316,a transfusion
C0009566,complications
C0012833,dizziness
C0015672,fatigue
